Date,Close_x,Open_x,High_x,Low_x,Volume_x,Change_x,Close_y,Open_y,High_y,Low_y,Volume_y,Change_y
2018-02-26,47380,47280,47560,47080,8199999.999999999,0.0034000000000000002,2457.65,2465.35,2466.08,2447.86,321260000.0,0.0025
2018-02-27,47380,48360,48380,47380,9410000.0,0.0,2456.14,2474.08,2480.79,2456.14,271230000.0,-0.0006
2018-02-28,47060,47380,48100,47000,14970000.0,-0.0068000000000000005,2427.36,2447.11,2460.12,2426.21,367560000.0,-0.011699999999999999
2018-03-02,46020,46580,46800,46000,13110000.0,-0.022099999999999998,2402.16,2406.57,2410.34,2387.25,320400000.0,-0.0104
2018-03-05,45200,45820,46160,45080,13270000.0,-0.0178,2375.06,2405.92,2407.98,2374.8,312250000.0,-0.0113
2018-03-06,47020,45920,47100,45820,15120000.0,0.0403,2411.41,2400.67,2413.01,2392.87,400110000.0,0.015300000000000001
2018-03-07,48620,48200,48900,47220,21200000.0,0.034,2401.82,2413.39,2429.43,2395.24,412970000.0,-0.004
2018-03-08,49200,49200,49480,48080,19430000.0,0.011899999999999999,2433.08,2420.67,2433.08,2407.59,394850000.0,0.013000000000000001
2018-03-09,49740,49440,50540,49240,14230000.0,0.011000000000000001,2459.45,2443.43,2476.43,2436.03,437260000.0,0.0108
2018-03-12,49740,50560,50780,49580,8640000.0,0.0,2484.12,2485.64,2489.46,2474.91,391300000.0,0.01
2018-03-13,51660,50760,51660,50360,20060000.0,0.038599999999999995,2494.49,2483.05,2494.49,2478.76,350200000.0,0.0042
2018-03-14,51760,51020,52000,51000,12510000.0,0.0019,2486.08,2477.43,2486.98,2474.77,360860000.0,-0.0034000000000000002
2018-03-15,51540,52000,52020,51020,8640000.0,-0.0043,2492.38,2486.0,2496.51,2471.04,344010000.0,0.0025
2018-03-16,51140,51220,51420,50240,12110000.0,-0.0078000000000000005,2493.97,2495.11,2497.8,2476.88,377770000.0,0.0006
2018-03-19,50740,50620,51340,50440,8210000.000000001,-0.0078000000000000005,2475.03,2491.99,2493.56,2470.91,477220000.0,-0.0076
2018-03-20,51200,50700,51200,50100,8080000.0,0.0091,2485.52,2456.8,2485.52,2456.8,291500000.0,0.0042
