year,industry,code,label,label,6000201001O0,6000207003O0,6000403001O0,6000901001D3,6000901002D1,6000901002D3,6000902001D2,6000903001D2,6000903016D1,6000904001D3,6000906001D6,6000908001D2,6000908001D3,6000908001D7,CO10100170O0,DR00000052,DR00000082,DR00000113,DR00000136,DR00000156,FNMKFN02,S41000210FD1,S41000210FD2,S41B0D1009O0
2017,J,40350,0,0,1.809874131,1.498860852,2.044506952,13.88793618,-1.382397085,0.24538154,2.424419947,-1.074353786,-2.120651592,2,-0.529689,17.01147298,-1.290435395,1,0.543432196,0,1,0,3,0,0,-0.737379541,-0.842508041,0.524497396
2017,G,80420,0,0,0.649424257,0.051403099,2.044506952,15.60452958,-0.824058234,0.24538154,2.424419947,-0.582498497,0.120810516,0,-1.951849101,16.25100172,0.320404152,0,2.299135315,1,0,1,0,0,0,0.094993202,-0.765504529,0.382842392
2016,C,86520,0,0,0.526405963,0.78001902,2.044506952,14.98444777,-0.502114067,0.24538154,2.424419947,-0.31725252,-0.409815022,0,-1.951849101,15.16253625,-0.125457953,0,0.543432196,0,1,0,1,0,0,-0.305877846,-0.114591452,1.002936323
2015,C,25820,0,0,1.809874131,1.498860852,0.007665606,14.68000896,-1.209436284,0.24538154,0.041809487,-0.842725234,-0.284816739,4,-0.057004568,15.59313863,-0.253684625,0,0.638508819,0,0,0,0,0,0,0.440539215,1.090409612,0.525266414
2017,G,5110,0,0,1.207704823,1.498860852,0.364739059,13.76297845,0.07735122,-0.227256721,0.186445618,-0.814347341,-0.241429494,0,-1.951849101,14.67720771,0.227014533,0,0.543432196,0,0,0,0,0,0,-3.31031329,-2.667349549,1.480301249
2015,C,122350,0,0,0.03249669,0.049261292,0.402325738,14.81443802,-1.177322787,0.24538154,2.424419947,-0.975894429,0.011039204,0,-1.951849101,14.17486952,0.303604443,0,0.064968743,0,0,1,0,0,0,0.183318629,0.265458916,0.525266414
2015,G,60280,0,0,1.809874131,3.50787778,2.044506952,13.23083336,0.07735122,-0.227256721,2.424419947,-1.074353786,-3.053721305,0,-1.147199403,15.29938298,-2.378737453,1,0.543432196,0,0,0,0,0,0,0.449739124,-0.207873516,0.14622314
2016,D,4690,0,0,1.809874131,1.498860852,0.106330639,17.35040542,-0.263774374,0.24538154,3.451780084,-0.930302365,0.255570618,2,-1.951849101,16.1807611,0.020729534,0,0.543432196,0,0,0,0,0,0,-0.105564266,-0.402103873,0.525266414
2013,C,79000,0,0,1.809874131,1.498860852,2.044506952,13.26879222,0.07735122,0.24538154,2.424419947,-1.074353786,1.078006017,0,-1.951849101,14.65976972,0.301433343,0,0.927078669,0,0,0,0,0,0,0.272077107,-0.71564364,0.525266414
2016,C,32580,0,0,1.809874131,1.498860852,2.044506952,13.0064812,0.07735122,-0.227256721,2.424419947,-0.313235705,-0.359956807,4,-0.077055815,15.18923127,-1.075909013,1,0.543432196,0,1,0,1,0,0,-0.679077162,-1.395551552,0.376567969
2014,M,28080,0,0,1.809874131,1.498860852,2.044506952,14.66539812,-0.736074869,0.24538154,2.424419947,-1.074353786,0.63035058,1,-1.951849101,14.52257629,0.041859263,0,0.125562412,0,0,0,0,0,0,0.23308891,-0.367990711,0.525266414
2016,C,24940,0,0,1.809874131,1.498860852,0.228487347,13.07590693,0.07735122,-0.227256721,2.424419947,-1.074353786,0.566506316,0,-1.951849101,12.56226737,0.180142243,0,0.543432196,0,0,0,0,0,0,-0.826220903,-0.579994107,0.525266414
2017,C,64760,0,0,0.38329864,0.204943878,2.044506952,14.24837881,0.07735122,-0.227256721,2.424419947,-1.074353786,1.119866379,0,-1.951849101,16.11028799,1.217512446,0,1.365632848,1,0,0,0,0,0,1.481197875,1.007258295,0.525266414
2013,C,860,0,0,1.809874131,1.498860852,2.044506952,15.34718371,0.07735122,0.24538154,2.424419947,-1.074353786,0.772491356,0,-1.951849101,15.80111937,0.487875267,0,0.654707127,0,0,0,0,0,0,0.804535792,-0.179062702,0.525266414
2016,J,40300,0,0,0.012407662,1.498860852,2.044506952,14.88128402,-0.888565978,0.24538154,0.095375863,-1.074353786,0.027902707,0,-1.951849101,15.59495486,0.052142189,0,0.543432196,0,0,0,0,0,0,-0.441401854,0.274360487,0.525266414
2015,M,35080,0,0,0.02839248,1.498860852,0.886254232,16.81254526,-0.192507871,-0.227256721,0.695480799,-0.653429458,-0.099698838,0,-1.951849101,15.87272822,0.103867293,0,0.543432196,0,0,0,0,0,0,0.350373137,0.80641633,0.388664605
2017,C,103590,0,0,0.023532232,1.498860852,0.167408993,15.74877931,-0.778241408,0.24538154,0.274205309,-0.694512057,-0.024220032,0,-1.951849101,15.28109602,-0.024768057,0,1.126857796,0,0,0,0,0,0,-0.711056234,-0.355048819,0.525266414
2017,C,98460,0,0,0.088443553,1.498860852,2.044506952,14.44373497,0.07735122,-0.227256721,2.424419947,-1.074353786,1.069440665,0,-1.951849101,14.74322109,0.713898689,0,0.543432196,0,0,0,0,0,0,0.927036958,0.072980839,0.525266414
2015,C,81580,0,0,1.809874131,0.126901791,0.012363941,13.9994789,0.07735122,-0.227256721,2.424419947,-1.074353786,0.669532629,0,-1.951849101,14.28518684,0.467160897,0,0.050570248,0,0,0,0,0,0,1.386961885,1.573278894,0.525266414
2015,F,210,0,0,1.809874131,1.498860852,0.007665606,18.55772145,-0.018856226,-0.227256721,1.553365029,-0.795856558,0.192355833,0,-1.951849101,19.4236649,0.090401329,0,0.543432196,0,0,0,0,0,1,-0.01934779,0.479020039,0.071156163
2016,C,58220,0,0,1.809874131,0.082727024,2.044506952,13.48231926,-0.398068915,0.24538154,2.424419947,-0.473397137,-0.294858797,1,-0.249426617,15.72774964,-0.937002502,0,0.543432196,2,3,3,3,0,0,2.878923181,2.456291917,2.602914327
2016,C,10060,0,0,0.094167846,1.498860852,2.044506952,17.87708397,-0.356149839,0.24538154,0.179871773,-0.219777887,0.300913959,0,-1.951849101,18.1490306,0.185511512,0,0.543432196,0,0,0,0,0,0,-0.069397317,0.190322562,0.48413759
2014,G,93520,0,0,1.809874131,0.029851168,2.044506952,13.30944961,0.07735122,-0.227256721,2.424419947,-1.074353786,0.306970451,1,-1.951849101,12.82771662,0.446678391,0,0.543432196,0,0,0,0,0,0,0.205547311,-0.513272725,0.382220602
2015,C,51370,0,0,1.809874131,1.498860852,2.044506952,15.33203352,-0.273247067,-0.227256721,0.073796614,-0.220668753,-0.0771705,2,-0.207221649,17.35377246,-0.967241797,1,0.810690829,1,0,0,1,0,0,-1.025203919,-1.037760096,0.522349395
2015,J,20120,0,0,0.177008085,0.274686464,2.044506952,12.90432433,-0.06165741,0.24538154,2.424419947,-1.074353786,0.305359768,0,-1.951849101,14.99870305,1.123365851,0,1.428026329,0,0,0,0,0,0,0.602684558,-0.143480381,0.902149862
2017,C,11690,0,0,0.046537409,1.365669333,2.044506952,14.42825312,-0.460699749,0.24538154,2.424419947,-1.074353786,-0.342610643,0,-0.039283549,15.17530275,0.103461741,0,0.543432196,0,3,0,3,0,0,0.213538466,-0.646041497,0.219368222
2014,C,3780,0,0,1.809874131,1.498860852,2.044506952,12.85532248,0.07735122,0.24538154,2.424419947,-1.074353786,0.712710263,0,-1.951849101,10.90034582,0.419148194,0,0.600712768,0,1,0,1,0,0,0.44052586,1.049610639,0.525266414
2017,J,122450,0,0,0.233494975,0.405738271,2.044506952,15.40591611,0.00056943,0.24538154,0.162969406,-1.074353786,0.012028301,0,-1.951849101,16.4320468,0.433343017,0,0.543432196,0,0,0,0,0,0,-0.191170738,-0.047802426,0.525266414
2014,H,4360,0,0,1.809874131,1.498860852,2.044506952,15.97272432,-0.498265742,0.24538154,2.424419947,-1.074353786,0.581759445,0,-1.951849101,16.13630637,0.233198726,0,0.585714335,0,0,0,0,0,0,0.244574305,-0.718694639,0.525266414
2017,C,65950,0,0,0.435897332,1.498860852,0.435214082,14.89297097,-0.224471321,-0.227256721,0.797212081,-0.824212704,-0.449073112,0,-1.951849101,14.57306686,-0.120171874,1,0.543432196,0,0,0,0,0,0,-0.737124966,-0.203768283,0.525266414
2017,G,38620,0,0,0.131321747,1.498860852,2.044506952,12.94714044,0.07735122,0.24538154,2.424419947,-1.074353786,-0.239721308,0,-1.951849101,12.44903504,0.136299825,0,0.543432196,0,0,0,0,0,0,-0.22257522,0.228649501,1.098861519
2014,C,5500,0,0,1.809874131,1.498860852,2.044506952,14.52445364,0.07735122,-0.227256721,2.424419947,-1.074353786,0.597279986,0,-1.951849101,15.52349569,0.540108714,0,0.543432196,0,0,0,0,0,0,1.03180648,0.549677361,0.525266414
2017,C,83930,0,0,1.809874131,1.498860852,2.044506952,14.34715816,0.07735122,-0.227256721,2.424419947,-0.050319685,0.164813882,1,-1.951849101,15.70375258,-0.063583778,0,0.543432196,0,0,0,0,0,0,-0.21811986,0.286722927,0.525266414
2013,C,11080,0,0,1.809874131,1.055375064,0.458705757,13.15804333,0.07735122,-0.227256721,0.036740509,-0.18338011,-0.21073429,0,-1.951849101,15.35315102,0.116673964,0,0.543432196,0,1,0,1,0,0,0.552805121,0.297576881,0.570340256
